"table_name","column_name","data_type"
"company","id","integer"
"company","name","text"
"company","parent_company","text"
"company","created_at","timestamp without time zone"
"company","confidence","integer"
"company","scan_id","integer"
"control","id","integer"
"control","scan_id","integer"
"control","control_id","text"
"control","control_test","text"
"control","control_test_results","text"
"control","control_page_ref","integer"
"control","control_line_ref","integer"
"control","control_gpt_opinion","text"
"control","control_gpt_reasoning","text"
"control","control_desc","text"
"control","control_seq","integer"
"control","control_tsc_id","character varying"
"control","control_coso_id","character varying"
"control","control_tsc_similarity","double precision"
"control","control_coso_similarity","double precision"
"control","control_tsc_confidence_pct","integer"
"control","control_coso_confidence_pct","integer"
"control","control_closest_framework","character varying"
"control","control_tsc_section","character varying"
"control","control_coso_section","character varying"
"control","control_soc_domain","character varying"
"control","control_status","character varying"
"control","merged_to_control_id","character varying"
"cuec","id","integer"
"cuec","scan_id","integer"
"cuec","cuec_distance_from_cuec_keywords","integer"
"cuec","cuec_seq","integer"
"cuec","cuec_tsc_id","character varying"
"cuec","cuec_description","text"
"cuec","cuec_line_ref","integer"
"cuec","cuec_confidence","double precision"
"cuec","cuec_gpt_opinion","character varying"
"cuec","cuec_gpt_reasoning","text"
"cuec","cuec_framework_alignment","character varying"
"cuec","cuec_framework_alignment_id","character varying"
"cuec","cuec_justification","text"
"cuec","cuec_coso_id","character varying"
"cuec","cuec_tsc_similarity","double precision"
"cuec","cuec_coso_similarity","double precision"
"cuec","cuec_tsc_confidence_pct","integer"
"cuec","cuec_coso_confidence_pct","integer"
"cuec","cuec_closest_framework","character varying"
"cuec","cuec_confidence_justification","text"
"logo","id","integer"
"logo","filename","text"
"logo","file","bytea"
"logo","uploaded_at","timestamp without time zone"
"product","id","integer"
"product","name","character varying"
"product","scan_id","integer"
"scan","id","integer"
"scan","company_id","integer"
"scan","product","text"
"scan","scan_date","timestamp without time zone"
"scan","report_date","date"
"scan","coverage_start","date"
"scan","coverage_end","date"
"scan","status","text"
"scan","error_message","text"
"scan","debug_log","text"
"scan","pdf_file","bytea"
"scan","pdf_filename","text"
"scan","extracted_text","text"
"scan","result_json","jsonb"
"scan","gpt_cost","numeric"
"scan","gpt_model","text"
"scan","estimated_time_seconds","integer"
"scan_history","id","integer"
"scan_history","timestamp","timestamp without time zone"
"scan_history","filename","character varying"
"scan_history","results","jsonb"
"settings","id","integer"
"settings","key","text"
"settings","value","text"
"subservice_org","id","integer"
"subservice_org","scan_id","integer"
"subservice_org","name","text"
"subservice_org","confidence","numeric"
